nohhold,nomem,weeknr,inkhh,inknorm,inkrond,finsitu,inkeven,inkaank,inksec,loan1,loan2,loan3,ink25a,ink25b,ink25c,ecsit,zinvol,opzij,hoevopzy,opzij12,spaarm01,spaarm02,spaarm03,spaarm04,spaarm05,spaarm06,spaarm07,spaarm08,spaarm09,spaarm10,spaarm11,spaarm12,spaarm13,spaarm14,spaarm15,spaarm16,spaar1,spaar2,spaar3,spaar4,spaar5,spaar6,beschryf,toek01,toek02,toek03,toek04,toek05,toek06,toek07,toek08,toek09,toek10,toek11,toek12,uitgeven,plannen,periode1,bijhoud,potjes,pin1,pin2,chip1,chip2,autom,foon,smart,intern,zon,her1,her2,her3,her4,baby,plan,uitspr,hhrela,beslis,geldh,geluk,kenltd,kenhh,kenink,kenopl,kenwerk,manuur,vrouwuur,kunde,advies,con01,con02,con03,con04,con05,con06,con07,con08,con09,con10,work01,work02,work03,work04,work05,work06,work07,work08,work09,jeugd1,jeugd2,jeugd3,jeugd4,jeugd5,jeugd6,jeugd1_x,jeugd2_x,jeugd3_x,jeugd4_x,jeugd5_x,jeugd6_x,toek01_x,toek02_x,toek03_x,toek04_x,toek05_x,toek06_x,toek07_x,toek08_x,toek09_x,toek10_x,toek11_x,toek12_x
37930,1,201208,5,2,4,2,3, , ,2,3,2,4,2, ,1,1,1,3,1,7,7,7,7,7,4,4,4,5,7,7,1,6,7,6,7,7,7,3,7,1,1,2, , , , , , , , , , , , ,7,2,3,3,2,1,4,1,3,1,1,1,5,60,100,100,0,100,1,3,2,1,2,1,2,11,2,9,6,4,20,20,2,6,4,2,3,1,4,4,4,5,1,5, , , , , , , , , , , , , , , ,4,5,1,3,3,2,6,7,2,4,5,4,7,6,2,2,3,1
37975,2,201220,4,2,4,4,2, , ,-7,1,2,3,2, ,2,2,2, ,2,2,3,7,4,7,1,1,5,2,4,6,1,3,3,3,5,1,1,1,1,1,1,-7, , , , , , , , , , , , ,4,2,4,4,1,1,3,2, ,1,3,3,5,75,0,0,0,0,1,1,5,1,3,1,1,9,3,7,5,4,36,30,3,8,4,4,1,1,4,5,2,3,1,3,7,7,7,7,7,1,3,7,3, , , , , , ,1,5,1,3,3,4,2,2,4,2,3,4,2,3,2,4,4,4
37979,1,201208,5,2,3,2,2, , ,-7,2,2,3,2, ,3,1,1,3,1,1,1,6,6,6,1,1,6,1,6,5,1,1,6,6,4,7,7,1,7,1,1,-9, , , , , , , , , , , , ,5,3,4,3,1,1,4,1,1,3,1,1,5,5,100,25,0,100,2, , ,1,3,1,2,8,3,-9,6,4,38,32,1,1,1,1,1,1,3,5,1,3,3,3,7,7,5,7,6,2,4,7,3, , , , , , ,1,2,2,1,4,4,6,4,4,4,4,4,4,4,4,4,4,4
37979,2,201208,5,2,3,2,1,2, ,2,2,2,3,2, ,3,2,1,1,2,2,5,5,6,6,2,2,5,2,7,3,1,5,7,7,3,4,1,1,3,4,5,3, , , , , , , , , , , , ,5,4,3,3,2,1,4,1,2,1,1,1,4,50,100,0,0,100,2, , ,2,3,1,2,8,2,10,6,4,32,32,2,6,2,2,4,3,2,3,2,2,2,2,6,6,6,6,5,6,2,4,5, , , , , , ,1,5,2,2,1,2,5,5,2,2,3,2,6,6,2,3,2,2
38061,1,201208,1,2,3,4,3, , ,2,3,2,4,2, ,2,1,1,5,1,6,7,7,6,6,5,3,3,7,6,7,4,5,6,6,6, , , , , , , , , , , , , , , , , , , ,7,5,4,3,2,1,4,1,2,3,1,1,5,50,50,0,0,100,1,3,3,3,3,-7,2,10,2,10,7,4,40,30,2,3,3,3,2,2,2,4,2,3,1,4,6,6,6,6,6,4,2,5,5, , , , , , ,4,5,1,3,3,3,5,4,4,4,4,5,5,5,3,3,4,3
38184,1,201220,4,2,3,4,3, , ,-7,1,2,4,2, ,2,1,1,3,1,-7,7,6,7,6,-7,5,6,7,7,7,2,7,7,7,7,7,7,1,7,2,1,-7,6,5,7,5,4,5,6,5,7,7,7,2,6,2,3,3,1,1,4,1,1,1,1,1,5,100,50,0,0,100,2, , , , , ,1,7,4,8,5,4,40,24,2,1,5,1,3,1,5,5,2,4,1,5, , , , , , , , , ,3,5,3,4,1,1, , , , , , , , , , , , , , , , , , 
38270,1,201208,5,2,5,4,2, , ,2,1,2,3,2, ,3,1,2, ,2,-7,-7,5,5,5,1,5,7,1,5,5,1,1,6,3,6,1,1,1,4,6,7,5, , , , , , , , , , , , ,5,1,4,5,1,1,3,1,2,1,1,1,5,50,99,90,10,99,2, , ,1,4,2,1,12,2,9,7,5,5,0,4,3,4,1,5,1,4,5,2,5,1,5, , , , , , , , , , , , , , , ,1,1,3,3,2,2,4,3,3,3,5,2,5,6,2,3,2,3
38320,1,201208,4,2,5,3,1,1,2,2,1,2,3,2, ,3,2,1,1,2,-7,-7,7,7,7,1,1,7,1,6,7,1,1,7,4,7,7,5,4,7,5,1,3, , , , , , , , , , , , ,2,1,3,3,1,1,4,1,2,1,1,1,5,25,50,50,0,50,2, , ,1,3,1,1,9,2,9,4,4,40,40,1,1,3,3,2,2,5,5,1,4,1,4,6,6,6,6,6,6,3,6,5, , , , , , ,3,3,2,2,4,3,3,2,5,3,7,1,5,4,3,5,3,2
38340,1,201208,6,3,5,5,3, , ,2,2,2,4,2, ,2,1,1,6,2,-7,-7,6,2,3,6,2,6,1,6,6,-7,-7,6,6,6,6,6,1,6,1,1,1, , , , , , , , , , , , ,6,2,2,1,1,1,4,1,3,1,1,1,4,25,75,50,25,75,1,1,5,1,3,1,1,9,2,10,6,4,36,24,2,6,4,4,2,2,4,4,4,2,4,2,7,7,7,7,6,5,5,7,7, , , , , , ,1,2,3,2,1,1,5,3,5,3,6,5,6,6,3,6,5,5
38493,1,201220,-9, ,4,4,3, , ,2,2,2,4,1,4,3,2,2, ,2,6,6,5,3,2,2,4,4,2,6,4,2,2,6,2,4, , , , , , , , , , , , , , , , , , , ,6,2,3,4,1,1,4,1,1,3,1,1,5,60,100,0,0,100,1,2,3,2,3,1,2,8,3,8,3,5,40,20,2,9,3,5,1,3,2,2,4,3,2,3,6,6,6,6,3,2,4,6,4, , , , , , ,4,5,1,2,1,1,1,6,5,1,4,5,6,4,2,2,2,1
38581,1,201208,4,2,4,4,3, , ,-7,3,2,2,1,4,2,2,1,3,2,-7,-7,3,4,6,5,2,3,2,7,4,-7,-7,4,6,4,3,4,3,6,3,3,3,4,4,4,3,5,4,5,4,4,4,3,4,5,2,1,3,2,1,3,1,3,1,4,4,4,50,70,40,10,100,2, , ,1,3,2,2,4,2,8,7,4,40,32,2,1,3,2,4,2,3,4,1,3,1,4,6,6,4,6,6,2,4,6,6,1,3,2,3,2,2, , , , , , , , , , , , , , , , , , 
38694,1,201208,5,2,4,5,3, , ,-7,2,2,2,1,4,3,1,1,2,1,-7,-7,6,6,6,4,3,6,-7,-7,4,-7,-7,7,6,6,6,6,2,6,5,2,-7,2,2,4,6,6,3,4,4,5,6,4,2,7,2,1,3,1,1,3,2, ,1,1,1,4,50,90,50,1,99,2, , ,2,3,2,2,8,2,9,6,4,38,24,3,2,2,2,2,4,3,4,2,4,1,4,3,6,6,5,4,6,3,4,3,1,5,5,3,2,3, , , , , , , , , , , , , , , , , , 
38740,1,201241,5,2,4,4,2, , ,2,3,2,4,2, ,3,3,1,1,1,2,2,4,5,5,2,2,2,2,6,5,2,2,5,5,4,6,6,2,4,2,3,-7, , , , , , , , , , , , ,5,2,2,3,2,1,4,2, ,3,1,2,4,70,50,30,10,100,1,3,3,2,3,2,2,6,4,9,4,4,38,24,2,8,2,3,2,3,3,4,3,2,2,3,7,6,5,6,5,4,4,5,3, , , , , , ,1,4,4,1,2,2,4,3,3,5,4,3,5,4,3,3,4,5
38740,2,201241,5,2,3,3,2, , ,2,2,2,3,2, ,3,1,1,2,1,6,5,6,6,4,4,2,4,6,7,5,4,5,6,5,5,7,7,1,6,2,3,-7, , , , , , , , , , , , ,3,4,1,4,1,1,4,1,2,3,2,5,5,25,75,60,5,95,1,3,3,2,3,1,2,6,4,-9,5,1,36,24,3,6,4,2,2,1,4,4,2,4,1,4,7,4,6,6,6,1,2,2,1, , , , , , ,1,3,5,2,3,4,6,6,3,2,6,5,7,5,5,3,3,4
38901,1,201208,5,2,4,4,3, , ,2,1,2,1,1,4,2,3,1,2,1,3,3,3,7,7,3,1,6,3,7,3,-7,3,7,6,2,7,5,1,3,7,1,3,5,5,2,6,4,2,6,6,2,3,3,4,4,3,4,4,2,1,3,1,2,1,1,1,4,50,100,50,0,100,1,1,3,2,3,1,2,6,2,9,4,4,36,36,2,4,4,2,3,1,3,4,1,4,1,4, , , , , , , , , ,4,4,1,4,4,3, , , , , , , , , , , , , , , , , , 
38923,1,201208,4,2,3,3,2, , ,2,2,2,2,1,3,3,1,1,2,3,6,7,7,5,5,4,4,4,7,7,7,5,4,6,4,6,6,3,6,4,5,5,-7, , , , , , , , , , , , ,4,5,2,4,1,1,3,1,1,1,1,1,3,95,85,40,10,100,1,1,2,1,3,1,2,8,4,9,6,1,50,15,3,3,4,2,4,1,4,4,2,5,1,4,6,6,7,6,6,6,2,2,3, , , , , , ,3,2,2,4,3,1,5,4,5,3,5,4,4,5,6,6,5,4
38923,2,201208,4,2,3,3,2, , ,2,3,2,2,2, ,2,1,2, ,2,6,7,7,6,6,6,6,6,7,7,7,5,7,7,5,6,6,7,6,6,6,5,1, , , , , , , , , , , , ,4,5,1,3,1,1,4,1,2,1,1,1,2,85,50,50,0,100,1,3,3,1,2,1,1,8,4,8,6,4,45,20,2,5,4,3,3,1,3,4,4,3,2,3, , , , , , , , , , , , , , , ,4,1,2,4,3,2,5,2,6,5,6,4,6,4,6,6,6,6
38997,1,201208,4,2,3,2,2, , ,2,2,2,3,2, ,3,2,2, ,3,4,6,1,6,7,1,2,5,4,5,4,1,4,7,4,4,4,4,1,5,4,4,-7, , , , , , , , , , , , ,4,5,3,4,1,1,4,2, ,3,1,1,5,50,100,0,0,100,1,3,3,2,3,1,2,10,4,9,4,4,40,30,3,3,3,3,2,1,5,4,1,5,1,4, , , , , , , , , , , , , , , ,4,3,2,2,2,2,5,4,2,2,4,4,4,4,3,4,2,4
38997,2,201208,4,2,2,2,2, , ,2,3,2,2,2, ,2,2,2, ,3,6,7,6,7,7,1,1,7,7,7,4,1,7,7,6,6,4,4,1,7,5,4,-7, , , , , , , , , , , , ,3,5,2,3,2,1,4,2, ,1,1,1,3,80,80,10,0,100,1,1,3,2,2,1,3,9,2,9,4,1,40,20,2,8,2,2,4,2,4,5,1,4,2,4, , , , , , , , , , , , , , , ,4,3,1,4,2,3,7,5,4,4,4,4,3,5,3,3,3,3
38997,3,201208, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,4,6,4,7,6,-7, , , , , , , , , , , , ,6,2,4,4,1,1,3,1,2,1,1,3,3,60,100,0,0,90,2, , ,2, , ,2,5,3,8,4,4,38,32,3,7,3,2,3,2,4,5,1,4,1,5,7,4,7,5,6,1,5,5,3, , , , , , ,4,2,1,4,3,3,5,4,5,3,5,6,3,4,5,3,4,4
38997,4,201208, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,6,1,6,4,4,-7, , , , , , , , , , , , ,4,4,3,5,1,1,3,1,1,1,1,3,4,20,0,0,0,0,2, , ,2, , ,3,3,2,7,6,5,20,20,2,7,4,3,3,1,5,4,2,5,2,4, , , , , , , , , , , , , , , ,4,2,1,3,2,2,5,6,4,4,5,6,4,5,3,5,4,5
39117,1,201208,-9, ,3,4,2, , ,-7,3,2,3,2, ,3,2,1,-9,2,3,5,4,5,3,4,5,4,5,6,5,1,3,6,6,4, , , , , , , , , , , , , , , , , , , ,4,2,3,4,2,1,3,1,2,1,1,1,5,50,1,1,0,50,2, , ,2,5,2,2,4,3,-9,3,4,0,0,3,9,4,3,2,1,4,3,1,2,1,3,4,2,7,5,4,3,3,2,1, , , , , , ,1,3,4,1,1,1,6,5,3,7,6,5,5,5,4,4,5,5
39177,1,201208,3,2,3,2,1,2, ,2,3,2,1,2, ,3,3,1,2,4,-7,-7,1,6,6,1,1,6,1,7,1,-7,1,6,4,1,7,4,1,4,1,1,-7, , , , , , , , , , , , ,7,4,1,1,1,2, ,2, ,2,1,1,1,80,100,0,0,100,2, , , , , ,2,6,1,7,6,4,38,10,1,1,4,1,3,1,3,4,1,4,1,4, , , , , , , , , , , , , , , ,4,5,1,4,4,4,7,7,7,4,7,6,6,6,4,6,4,4
39373,1,201220,5,2,4,4,2, , ,2,3,2,3,2, ,2,2,1,2,2,5,6,4,6,6,6,5,7,3,6,5,5,4,5,5,5,4,2,3,5,5,5,3, , , , , , , , , , , , ,6,2,3,3,4,1,4,1,1,1,1,1,4,10,100,100,66,100,1,3,3, , , ,2,10,2,8,4,1,40,30,2,8,3,4,4,2,4,4,4,4,2,2,5,5,7,7,7,7,5,5,5, , , , , , ,1,2,5,3,3,3,7,7,3,2,5,5,6,6,3,6,2,2
39394,1,201208,4,2,3,3,2, , ,1,4,2,3,2, ,4,2,2, ,2,4,5,-7,5,5,-7,3,4,4,6,5,-7,4,6,6,-7,2,7,1,2,2,1,1, , , , , , , , , , , , ,5,3,2,5,1,1,4,1,2,1,1,1,4,5,100,100,1,100,1,1,1,1,3,1,1,11,2,8,6,5,20,10,2,6,5,4,5,1,4,5,2,5,1,5, , , , , , , , , , , , , , , ,1,3,3,2,2,2,5,5,2,5,2,1,6,6,2,5,2,2
39397,1,201208,4,2,5,5,3, , ,-7,3,2,3,2, ,4,2,1,2,1,-7,-7,5,6,4,2,2,5,-7,6,5,-7,-7,5,6,4,4,2,2,4,5,5,3, , , , , , , , , , , , ,3,2,2,1,1,1,4,1,1,1,1,1,5,25,75,30,1,99,2, , , , , ,2,7,3,8,7,4,36,32,2,1,3,3,1,2,5,4,1,4,1,4,6,6,5,7,6,1,4,6,3, , , , , , ,3,5,2,4,3,3,5,4,5,2,5,4,6,6,3,3,2,2
39406,1,201208,4,2,4,4,3, , ,2,2,2,4,2, ,3,1,1,2,1,7,4,6,2,7,1,2,2,6,7,5,1,2,7,4,4,5,2,5,6,4,4,3, , , , , , , , , , , , ,7,2,3,3,1,1,4,1,1,1,1,1,5,10,100,100,0,100,1,1,2,1, , ,1,10,2,8,4,3,50,20,2,6,4,2,2,1,3,4,1,3,1,4,5,5,6,5,4,6,6,6,3, , , , , , ,1,5,4,1,1,1,6,5,4,6,6,4,6,4,2,4,3,3
39463,1,201208,4,2,4,4,3, , ,-7,1,2,4,2, ,3,2,1,2,2,2,7,7,7,7,2,7,7,6,6,6,-7,6,6,5,6,7,7,4,7,6,4,1, , , , , , , , , , , , ,5,2,4,4,1,1,3,1,1,2,1,1,4,10,1,1,1,100,1,1,5,2,3,1,2,9,3,7,4,4,36,20,2,1,4,2,4,2,4,4,2,4,2,4,4,7,6,6,6,5,4,6,6, , , , , , ,2,2,5,4,4,4,6,5,2,7,7,3,3,3,6,2,3,6
39463,2,201208,4,2,3,4,1,1,3,-7,1,2,4,2, ,2,1,1,2,1,-7,7,6,6,6,-7,-7,7,4,7,6,-7,7,7,5,7,7,7,1,7,1,1,-7, , , , , , , , , , , , ,5,4,4,3,1,1,2,1,1,3,1,1,2,1,50,0,0,50,1,1,3,1,3,1,1,10,2,-9,3,4,36,12,1,9,3,2,4,1,4,4,1,4,1,4, , , , , , , , , , , , , , , ,4,5,1,4,3,2,4,2,6,4,4,4,3,3,6,6,4,4
39491,1,201220,3,2,2,3,1,1,2,2,3,2,3,2, ,3,1,1,2,2,3,6,6,6,7,1,1,7,6,7,6,1,5,7,7,7,7,3,2,6,6,3,3, , , , , , , , , , , , ,6,5,3,1,2,1,4,1,2,1,1,2,4,35,100,50,0,100,1,3,2, , , ,2,6,4,8,5,4,40,20,2,1,2,4,4,3,4,2,2,2,2,4,5,5,6,6,4,1,4,6,5, , , , , , ,4,5,2,2,2,2,4,2,6,5,5,2,5,2,6,6,6,6
39500,1,201208,4,2,3,3,2, , ,2,3,2,3,2, ,2,3,2, ,3,2,3,4,5,6,2,2,5,2,6,3,2,3,3,3,4,2,2,2,2,2,2,1, , , , , , , , , , , , ,4,4,3,4,1,1,2,1,1,2,1,1,1,30,0,0,0,0,1,1,5,2,3,1,2,8,3,6,4,4,40,0,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4, , , , , , ,1,5,1,3,1,4,5,5,3,6,3,4,4,4,3,4,4,4
39500,2,201208,3,2,3,3,2, , ,-7,2,2,3,2, ,2,3,2, ,3,3,3,3,4,5,2,2,3,2,5,3,2,2,5,3,3,3,5,2,2,2,2,-7, , , , , , , , , , , , ,3,3,2,3,1,1,2,1,1,2,1,1,2,30,0,0,0,0,1,1,3,1,3,1,2,8,4,6,4,4,40,10,1,6,4,2,2,2,3,4,2,3,2,3, , , , , , , , , , , , , , , ,2,2,2,2,1,3,4,3,4,3,4,4,4,4,3,4,4,5
39500,3,201208, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,2,5,2,2,1, , , , , , , , , , , , ,3,3,2,3,1,1,3,1,1,2,1,1,3,20,0,0,0,0,2, , ,1, , ,2,5,2,5,5,4,40,40,1,1,3,3,3,3,3,3,3,3,3,3,5,5,4,3,3,3,4,5,3, , , , , , ,4,5,2,3,2,2,4,2,5,4,4,3,3,4,5,4,4,4
39540,1,201220,5,2,3,3,2, , ,-7,2,2,3,2, ,4,1,1,1,1,5,7,7,7,7,7,1,7,6,7,7,5,7,7,7,7,7,4,1,7,1,1,-7,5,2,5,5,5,4,7,6,1,1,1,1,7,5,2,3,1,1,4,2, ,1,1,1,5,80,80,10,5,100,1,1,3, , , ,1,7,4,9,6,4,50,28,1,1,3,5,5,3,5,5,1,5,1,5, , , , , , , , , ,1,5,4,4,1,2, , , , , , , , , , , , , , , , , , 
39577,1,201208,5,2,4,4,3, , ,2,2,2,4,2, ,3,2,1,1,1,-7,-7,5,5,3,3,6,6,-7,6,5,2,-7,5,3,5,3,2,3,4,4,5,3, , , , , , , , , , , , ,5,2,3,4,1,1,3,1,3,1,1,1,5,20,60,50,10,70,2, , , , , ,3,8,4,10,6,4,40,40,3,2,2,4,3,3,4,4,2,3,3,3,4,5,5,3,4,2,4,5,3, , , , , , ,1,3,2,4,1,3,5,5,3,2,4,5,5,4,3,4,3,4
39642,1,201208,2,2,3,3,2, , ,-7,-9,2,4,2, ,3,-9,2, ,-9,6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,6,7,1,1,1,1,-7, , , , , , , , , , , , ,4,5,3,3,2,1,2,2, ,3,1,1,-9,50,0,0,0,10,1,-9,5,3,3,-9,3,13,2,5,2,4,0,0,1,5,2,2,2,2,2,2,5,2,4,1, , , , , , , , , , , , , , , ,3,2,2,4,4,3,1,1,1,1,1,1,7,7,7,7,7,7
39642,2,201208,3,2,3,3,2, , ,2,-9,2,4,1,3,3,3,2, ,3,-7,-7,-7,-7,-7,-7,-7,-7,6,6,6,6,6,6,6,6,4,4,4,4,4,4,-7, , , , , , , , , , , , ,4,4,2,4,1,1,3,1,2,3,2,2,4,70,0,0,0,0,1,-9,5,1,3,-7,3,13,2,5,3,5,0,0,2,5,5,1,5,1,5,5,1,5,1,5, , , , , , , , , , , , , , , ,1,5,5,4,3,2,4,4,6,4,4,4,7,7,7,7,7,7
39755,1,201208,5,2,5,5,3, , ,2,1,2,4,1,4,3,1,1,3,1,4,7,6,7,5,1,5,5,4,7,5,1,4,5,6,6,5,6,1,7,5,4,3, , , , , , , , , , , , ,5,1,4,5,1,1,4,1,2,1,1,1,5,100,99,95,2,100,1,1,3,1,4,1,2,10,2,-9,4,4,36,15,3,8,3,4,2,1,5,4,3,5,1,4, , , , , , , , , , , , , , , ,4,4,1,3,3,2,4,4,4,1,4,1,7,5,3,6,5,3
39770,1,201208,3,2,4,3,3, , ,2,-9,2,3,2, ,2,3,1,2,2,1,7,-7,7,7,-7,1,7,1,7,-7,-7,7,7,7,1,7,7,1,7,1,1,-7, , , , , , , , , , , , ,4,2,2,5,2,1,1,2, ,3,1,1,1,5,0,0,0,0,1,1,5,1,3,1,1,11,2,-9,3,5,0,0,2,3,5,1,5,1,3,5,1,5,1,5, , , , , , , , , , , , , , , ,4,5,1,2,1,1,1,1,7,1,1,1,1,1,4,4,1,4
39770,2,201208,3,2,3,3,3, , ,2,3,2,3,2, ,2,2,1,2,2,1,7,-7,7,7,1,1,7,1,7,-7,1,7,7,7,1,7,1,1,7,1,1,-7, , , , , , , , , , , , ,5,5,2,5,2,1,4,2, ,1,1,1,1,50,0,0,0,0,1,1,5,1,3,1,1,12,2,-9,3,5,0,0,1,9,5,1,5,1,5,5,1,5,1,5, , , , , , , , , , , , , , , ,4,5,1,4,3,1,1,1,4,1,1,1,1,1,4,6,1,7
39802,1,201220,5,2,4,4,2, , ,-7,2,2,3,1,4,3,1,1,2,1,6,6,6,6,6,6,2,4,6,6,6,2,6,6,6,4,6,5,1,6,4,1,3,5,2,5,4,6,3,6,2,4,4,5,4,4,4,3,4,2,1,4,1,1,1,1,1,5,85,99,65,5,99,1,2,2,1,3,2,1,8,4,10,6,1,50,20,2,6,3,3,3,1,4,4,3,3,1,3,3,3,6,6,5,5,6,4,2,2,2,4,2,2,3, , , , , , , , , , , , , , , , , , 
39802,2,201208,5,2,4,3,2, , ,-7,3,2,3,1,4,3,1,1,1,1,6,6,6,6,6,6,5,5,6,6,7,4,6,7,6,6,6,4,1,6,4,2,3,5,4,5,4,5,3,6,5,4,6,5,5,3,3,3,4,2,1,4,1,1,1,5,1,5,80,100,50,0,100,1,1,2,2,3,2,1,7,4,10,6,4,50,20,2,1,4,3,3,5,5,4,3,4,1,4,5,2,6,6,5,6,2,2,2,3,3,4,2,2,3, , , , , , , , , , , , , , , , , , 
40043,1,201220,6,2,4,4,3, , ,2,2,2,4,2, ,3,1,1,5,1,1,4,7,4,2,1,3,6,1,6,6,1,3,6,2,6,6,2,1,6,5,3,-7, , , , , , , , , , , , ,5,2,4,4,1,1,4,1,2,1,1,1,5,50,90,90,5,90,1,2,2, , , ,2,11,2,7,6,4,50,25,2,3,3,3,2,4,4,4,2,3,2,4,7,6,6,6,3,6,2,5,6, , , , , , ,1,4,5,3,4,2,5,4,2,2,2,6,6,5,2,4,2,2
40051,1,201208,4,2,4,4,2, , ,1,2,2,3,1,4,4,1,1,2,1,4,6,6,6,6,3,3,5,5,7,6,1,6,7,6,6,6,6,2,5,1,1,-7, , , , , , , , , , , , ,5,2,3,4,2,1,2,2, ,3,3,1,4,80,100,60,0,100,1,-9,3,1,3,1,2,9,4,-9,4,4,38,15,3,4,5,1,5,1,4,5,1,4,1,5,5,4,3,5,4,2,6,6,2, , , , , , ,4,5,2,2,2,2,5,6,2,2,4,4,6,6,2,3,3,4
40051,2,201208,4,2,4,4,3, , ,1,2,2,4,1,4,4,1,1,2,1,4,6,6,6,6,-7,-7,5,5,6,6,-7,6,6,6,5,6,6,3,6,2,2,-7, , , , , , , , , , , , ,6,3,3,3,2,1,4,2, ,1,1,1,1,90,100,50,0,100,1,-9,3,1,3,1,1,8,4,-9,4,4,38,20,2,6,4,1,3,1,3,4,2,4,1,4,6,1,5,6,2,1,5,1,2, , , , , , ,4,3,3,2,1,2,4,5,4,4,4,4,6,5,2,3,4,3
40051,3,201208, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,1,1,6,1,1,-7, , , , , , , , , , , , ,5,3,3,3,2,1,4,2, ,3,4,4,4,75,20,0,0,20,2, , ,1, , ,2,4,2,-9,4,4,36,30,2,1,2,5,3,4,3,4,4,3,2,2, , , , , , , , , , , , , , , ,1,4,3,2,1,1,5,5,5,5,5,5,6,6,3,3,3,3
40051,4,201208, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,3,3,2,2,-7, , , , , , , , , , , , ,5,3,1,4,2,1,4,2, ,3,4,3,5,70,10,0,0,10,2, , ,2, , ,2,3,2,1,4,5,15,15,2,1,5,1,5,3,5,5,1,5,1,5, , , , , , , , , , , , , , , ,1,4,3,2,1,2,6,3,3,4,4,5,6,6,2,4,4,3
40073,1,201208,4,2,3,4,2, , ,-7,1,2,3,2, ,3,1,1,4,1,5,5,7,6,6,6,7,7,6,5,6,6,6,5,6,7,5,4,5,5,5,5,1, , , , , , , , , , , , ,5,5,2,3,2,1,4,2, ,2,4,1,4,50,100,20,20,100,1,2,3,2,3,5,3,8,4,9,4,2,40,25,2,2,4,2,4,2,4,4,2,4,2,4, , , , , , , , , , , , , , , ,4,4,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
40073,2,201208,4,2,4,4,2, , ,-7,2,2,4,2, ,3,1,1,3,2,5,5,5,3,6,5,-7,6,4,6,6,-7,4,6,6,5,6,6,5,6,5,2,-7, , , , , , , , , , , , ,6,1,3,2,1,1,4,2, ,3,2,1,3,10,90,90,0,50,1,3,3,2,2,1,3,10,4,7,5,4,40,32,1,1,4,1,2,1,4,4,1,4,1,4, , , , , , , , , , , , , , , ,4,5,1,4,1,2,5,2,4,6,6,1,4,4,5,5,5,5
40205,2,201208,3,2,3,4,2, , ,-7,2,2,3,2, ,3,2,1,1,2,2,3,-7,7,7,3,-7,4,2,7,-7,1,6,7,6,4,7,7,1,7,2,2,1,5,3,6,4,4,3,3,3,3,6,4,4,4,3,2,3,1,1,4,1,1,1,1,1,5,90,100,100,0,100,1,1,3,1,3,1,2,12,1,5,3,5,0,0,1,1,4,4,3,1,3,3,3,3,2,3, , , , , , , , , ,4,5,1,3,2,2, , , , , , , , , , , , , , , , , , 
40363,1,201208,3,2,3,4,2, , ,-7,3,2,3,2, ,2,1,1,1,1,-7,-7,-7,7,7,-7,-7,7,-7,7,7,-7,-7,7,7,7,7,7,1,7,7,7,-7, , , , , , , , , , , , ,5,7,2,4,2,1,2,2, ,3,1,1,4,100,0,0,0,100,2, , ,2,4,1,2,7,4,9,5,1,80,40,2,8,5,1,5,1,5,4,1,5,1,5,7,7,7,7,7,4,1,7,7, , , , , , ,4,5,1,4,2,1,1,7,7,7,7,7,7,1,4,7,7,7
40365,1,201208,5,2,5,5,3, , ,2,1,2,4,2, ,2,1,1,3,1,4,7,7,7,7,3,4,4,4,7,7,-7,4,7,7,4,6,6,4,6,6,3,-7,6,6,3,3,4,4,6,6,2,6,1,1,5,1,3,4,2,1,3,2, ,1,1,1,4,50,80,50,0,95,1,1,3,1,3,1,2,10,2,10,4,4,32,20,1,6,4,4,1,1,4,5,3,4,1,4,7,7,7,7,6,6,2,7,4,2,5,3,2,3,3, , , , , , , , , , , , , , , , , , 
40365,2,201208,5,2,5,5,3, , ,2,2,2,4,2, ,2,1,1,3,1,2,3,7,6,6,2,1,3,2,5,7,1,2,6,4,4,7,7,1,7,4,1,-7,5,4,4,3,4,2,4,4,4,4,5,4,6,2,2,5,2,1,4,1,2,1,3,1,5,50,100,100,0,100,1,1,3,1,3,1,2,10,2,9,3,4,30,20,2,6,4,1,3,1,4,5,2,4,1,5,6,3,6,6,6,6,4,6,4,4,5,5,4,4,4, , , , , , , , , , , , , , , , , , 
40548,1,201220,3,1,3,3,2, , ,2,2,2,3,2, ,4,2,1,2,1,2,5,5,5,2,3,2,5,2,4,4,3,5,6,3,-7,1,6,1,4,2,1,-7,2,2,7,5,3,2,6,2,5,7,7,4,3,1,1,4,4,1,4,1,1,1,1,1,4,75,70,25,10,80,1,1,5, , , ,1,7,3,8,6,4,40,28,3,9,4,4,1,2,4,4,4,2,1,3, , , , , , , , , ,1,5,2,2,2,3, , , , , , , , , , , , , , , , , , 
