nohhold,nomem,weeknr,gez1,gez2,gez3,gez4,gez5,gez7,gez8,gez9,huisa1,huisa2,huisa3,ziek,hziek,kans0,kans1a,kans2a,kans3a,kans4a,kans5a,kans6a,ij2,ij161,ij16br,ij181,ij241,ij162,ij16br2,ij182,ij242,ij163,ij16br3,ij183,ij243,j16a,j16abra,j16b,iz1,iz14,iz15,iz16,iz16bra,iz18,iz19,iz24,iz37,iz38,iz38br,iz40,iz41,ip20,ip21,ip22,ip23,ip24,inp27a,ip41,ip4bra,ip71,ip42,ip4bra2,ip72,ip43,ip4bra3,ip73,ip44,ip4bra4,ip74,ii20,ii21,ii22,ii23,ii41,ii4br,ii61,ii42,ii4br2,ii62,ii43,ii4br3,ii63,is20,is21,is22,is23,is24,is25,is26,is27,is28,is29,is210,is211,is41,is4br,is61,is42,is4br2,is62,is43,is4br3,is63,is44,is4br4,is64,is45,is4br5,is65,is46,is4br6,is66,is47,is4br7,is67,is48,is4br8,is68,is4n,is4brn,is4n2,is4brn2,is4n3,is4brn3,io20,io21,io22,io23,io24,io25,io26,io27,io28,io48a,io48c,io41,io4br,io42,io4br2,io43,io4br3,io44,io4br4,io45,io4br5,io46,io4br6,io47,io4br7,io48,io4br8,io48b,io4br9,io48d,io4br10,in25,in26,in11a,in12a,in29a,in29b,in29,in30,in32,in33,in35,in36,in38,in39,in41a,in42,he070,he067,he068,he069,in45,in46,in48,in2012,in16,in18,in20,in22,in49a,in50,psy1,psy2,psy3,psy4,psy5,psy6,gebeur1,gebeur2,gebeur3,gebeur4,gebeur5,gebeur6,gebeur7,gebeur8,gebeur9,laag,hoog,pro1,pro2,pro3,pro4,dnbbaan,laagpr,hoogpr,pr0,pr1a,pr2a,pr3a,pr4a
375,2,201220,182,84,2,3,2,3, ,1,0,2,0, , , , , , , ,1,0,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,1,1,2,2, ,49202, , ,9445, , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,1, , , , , , , , , , , , , , , , , , ,750, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2,1,130,2,1,1,2, , , ,1,42422, , ,-9,9, , , , , , ,0,0,0,0,0,0,0,1,0,45000,49000,0,10,20,30, ,5,8,6,40,60,30,2
378,2,201225,176,95,3,3,2,3, ,2,3,4,1, , , , , ,3,1, , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,1, , , ,20000, , ,13000, , , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,480, , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,119,2,2,1,-7, , , ,1,27235, , ,27235, , , , , , , ,0,0,0,0,0,0,0,1,0,26000,27000,2,6,8,10, ,3,10,2,50,40,10,5
403,1,201220,159,74,2,3,2,3, ,2,1,2,0, , , , , , ,7,3, ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,1, , , ,13534, , ,7827, , , , , ,1,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,124,2,2,1,-7, , , ,1,20987, , ,21370, , , , , , , ,0,0,0,0,0,0,0,1,0,21370,21370,,,,, ,2.3,5.4,3,70,25,50,40
423,1,201225,177,65,1,3,2,3, ,2,0,1,0,2, ,8,7,5, , , , ,1,21654, , ,1, , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,120,2,1,1,-7, , , ,2, , , ,44000, , , , , , , ,0,0,0,0,0,0,0,1,0,44000,46000,100,100,50,45,0,4,7,5,0,40,50,10
434,1,201220,180,77,5,5,1,3, ,2,3,3,0, , , , , , , ,0,0,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,1, , , ,-9,5, ,9,6, , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,-9,1, , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, ,1,-9,2,1,237,1,1,1,-7, , , ,1,-9,6, ,-9,7, , , , , , ,0,0,0,0,0,1,0,0,0,20000,21000,0,0,25,50, ,5,12.5,10,0,35,5,5
461,1,201220,162,58,3,4,2,3, ,2,0,3,0, , ,7,7,7, , , , ,1,1238, , ,1, , , , , , , , , , , ,1,1,1,270, ,2, ,1,1,1322, ,2, , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,2,2,1,2,2,2,2,2,2,2,2,2, , , ,19760, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,1,9451,2, ,-7, ,-7, ,2, ,2, ,2,1,125,2,1,1,2, , , ,1,25998, , ,18692, , , , , , , ,0,0,0,0,0,0,0,0,1,18568,20368,80,20,5,0, ,1.8,3,3,50,50,15,5
523,1,201220,185,90,2,2,1,3, ,2,2,2,0, , , ,9,6, , , , ,1,943, , ,1, , , , , , , , , , , ,2, , , , , , , , , , , , ,2,1,2,2,2, ,32082, , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,78, , , , , ,2,2,1,2,2,2,2,2,2,2,2, , ,-9,2, , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,313,2,2,1,-7, , , ,1,-9,6, ,20724, , , , , , , ,0,0,0,0,0,0,0,1,0,20000,21000,10,20,50,60, ,2.3,3.5,3,100,80,5,4
562,1,201220,178,74,3,4,1,3, ,2, ,3, , , , , , , , ,0,0,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,1, , , ,9445, , ,31213, , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,1, , , , , , , , , , , , , , , , , , ,2300, ,2, ,2, ,2, ,-7, ,2, ,2, ,2, ,2,1,307,1,1,-9,-7, , , ,1,16175, , ,47858, , , , , , , ,0,0,0,0,0,0,0,1,0,0,47858,0,0,0,0, ,2,3.5,1,10,10,10,10
571,1,201220,188,90,2,3,2,3, ,2,0,1,0, , , , ,8,5, , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,1,1, , , ,18136, , ,29080, , ,4424, , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2,4,3360,2,1,1,-7, , , ,1,41740, , ,33500, , , , , , , ,0,0,0,0,0,0,0,1,0,32000,33600,100,10,0,0, ,-1.5,2,1,85,10,0,0
601,1,201220,183,73,1,3,2,3, ,2,0,2,0,1,3,9,7,6, , , , ,1,63117, , ,1, , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,2,507, , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,1, , , , , , , , , , , , , , , , ,675, ,1900, ,1,45000,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,122,2,1,3,2, , , ,1,54908, , ,47000, , , , , , , ,0,0,1,0,0,0,1,0,0,43000,52000,30,45,60,75,30,1.8,2,2,60,50,35,10
