nohhold,nomem,weeknr,gez1,gez2,gez3,gez4,gez5,gez7,gez8,gez9,huisa1,huisa2,huisa3,ziek,hziek,kans0,kans1a,kans2a,kans3a,kans4a,kans5a,kans6a,ij2,ij161,ij16br,ij181,ij241,ij162,ij16br2,ij182,ij242,ij163,ij16br3,ij183,ij243,j16a,j16abra,j16b,iz1,iz14,iz15,iz16,iz16bra,iz18,iz19,iz24,iz37,iz38,iz38br,iz40,iz41,ip20,ip21,ip22,ip23,ip24,inp27a,ip41,ip4bra,ip71,ip42,ip4bra2,ip72,ip43,ip4bra3,ip73,ip44,ip4bra4,ip74,ii20,ii21,ii22,ii23,ii41,ii4br,ii61,ii42,ii4br2,ii62,ii43,ii4br3,ii63,is20,is21,is22,is23,is24,is25,is26,is27,is28,is29,is210,is211,is41,is4br,is61,is42,is4br2,is62,is43,is4br3,is63,is44,is4br4,is64,is45,is4br5,is65,is46,is4br6,is66,is47,is4br7,is67,is48,is4br8,is68,is4n,is4brn,is4n2,is4brn2,is4n3,is4brn3,io20,io21,io22,io23,io24,io25,io26,io27,io28,io48a,io48c,io41,io4br,io42,io4br2,io43,io4br3,io44,io4br4,io45,io4br5,io46,io4br6,io47,io4br7,io48,io4br8,io48b,io4br9,io48d,io4br10,in25,in26,in11a,in12a,in29a,in29b,in29,in30,in32,in33,in35,in36,in38,in39,in41a,in42,he070,he067,he068,he069,in45,in46,in48,in2012,in16,in18,in20,in22,in49a,in50,psy1,psy2,psy3,psy4,psy5,psy6,gebeur1,gebeur2,gebeur3,gebeur4,gebeur5,gebeur6,gebeur7,gebeur8,gebeur9,laag,hoog,pro1,pro2,pro3,pro4,dnbbaan,laagpr,hoogpr,pr0,pr1a,pr2a,pr3a,pr4a
18656,1,201231,168,85,3,3,1,3, ,2,0,2,0, , ,5,4,3, , , , ,1,46355, , ,2, , , , , , , , , , , ,1,1,2,868, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,1, , , , , , , , , , , , , , , , , , ,-9,1,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,125,2,1,4,2, , , ,1,48410, , ,-9,11, , , , , , ,0,0,0,0,0,0,1,0,0,25000,75000,0,0,25,50,100,2,4,2,25,50,50,10
18656,2,201234,185,76,2,3,2,3, ,2, ,1, , , ,7,4,2, , , , ,0, , , , , , , , , , , , , , , ,1,1,1,68000, ,2, ,1,1,53000, ,2, , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,1, , , , , , , , , , , , , , , , ,-9,1,-9,2,1,5200,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,130,2,1,4,2, , , ,1,12200, , ,80000, , , , , , , ,0,0,0,0,0,0,0,1,0,70000,90000,80,70,40,20,20,4,7,7,5,60,5,0
18669,1,201220,174,66,2,4,2,3, ,2, ,1, , , , , ,5,3, , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,1, , , ,9445, , ,30653, , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,1, , , , , , , , , , , , , , , , ,628, ,666, ,2, ,2, ,1,1720,-7, ,-7, ,2, ,1,1400,2,4,2268,2,2,1,-7, , , ,1,34895, , ,52583, , , , , , , ,0,0,0,0,0,0,1,0,0,50000,52000,10,20,80,80, ,1,5,3,20,40,5,0
18768,1,201220,172,80,2,3,2,3, ,2, ,4, , , , , , , ,5,5, ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,1, , , ,-9,-9,-9,9,-9,9, , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,1, , , , , , , , , , , , , , , , , , ,-9,-9,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,130,2,1,1,-7, , , ,1,-9,-9,-9,-9,3, , , , , , ,0,0,0,0,0,0,0,1,0,0,0,,,,, ,4.5,4.5,5,0,50,20,5
18768,2,201220,168,90,2,3,2,3, ,2,0,2,0, , , , , ,8,5, , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,2,2, , , , ,-9,-9,-9, , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,3,1,156,2,1,1,-7, , , ,1,-9,-9,-9,-9,4, , , , , , ,0,0,0,0,0,0,0,1,0,0,0,,,,, ,7,8.5,7,0,40,20,0
18837,1,201220,183,71,1,2,2,2,1,2, , , ,2, ,10,5,3, , , , ,1,-9,4, ,3, , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,105,1,1,1,2, , , ,1,-9,6, ,-9,8, , , , , , ,1,0,1,0,0,0,0,0,0,23000,50000,0,20,40,50,0,-1.2,0.5,3,0,50,20,0
18915,1,201225,178,72,2,3,2,3, ,2,2, , ,1,10,5,4,3, , , , ,1,-9,5, ,3, , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,2,-9,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,-9,2, , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,1,-9,-7, ,-7, ,2, ,2, ,2,1,-9,2,2,2,2, , , ,1,-9,7, ,-9,10, , , , , , ,0,0,0,0,0,0,0,1,0,48000,60000,10,25,40,60,0,2.1,4,2,20,30,40,20
18915,2,201225,169,63,2,4,2,3, ,2,7,3,1,2, ,7,7,5, , , , ,2,70000, , ,3,4650, , ,1, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,1,299,-7, ,-7, ,2, ,2, ,2,1,-9,2,2,1,2, , , ,1,74650, , ,85000, , , , , , , ,0,0,0,0,0,0,0,1,0,75000,85000,0,10,50,80,15,0.3,1.2,1,100,100,100,100
18918,1,201220,168,92,3,3,1,3, ,2,2,4, ,2, , ,5,2, , , , ,1,13161, , ,1, , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,2,1,2,2,2,2,2,2,2,1,2,2,15244, , , , , , , , , , , , , , , , , , , , , , , ,-9,1, , , , ,2,1,2,2,2,2,2,2,2,1,1,7140, , , , , , , , , , , , , , , ,810, ,1210, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2,1,135,2,1,1,2, , , ,1,36793, , ,-9,7, , , , , , ,0,0,0,0,0,1,0,0,0,18000,22000,50,50,50,75,20,4.1,5.5,4,10,30,40,35
18920,2,201220,182,77,2,3,2,2,1,1, ,1, ,2, ,9,9,5, , , , ,2,51134, , ,1,27050, , ,1, , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,-9,2,1,1,2, , , ,1,56173, , ,-9,10, , , , , , ,0,0,0,0,0,0,0,1,0,77000,80000,90,80,50,20,0,1.5,3,2,95,80,60,20
18964,2,201228,180,80,3,3,2,3, ,2, ,1, ,1,5,8,6,5, , , , ,1,40000, , ,3, , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,-9,3, , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,5, ,2,1,1,2, , , ,1,-9,6, ,-9,8, , , , , , ,0,0,1,0,0,0,0,0,0,20000,40000,5,20,60,75,50,4.2,5,3,2,24,26,20
19036,1,201225,182,98,2,3,2,3, ,2,0,0,0,2, , ,9,7, , , , ,1,-9,6, ,1, , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,-9,2,1,2,2, , , ,1,-9,8, ,-9,10, , , , , , ,0,0,0,0,0,0,0,1,0,45000,75000,0,0,75,100,0,2.1,3,1,25,0,50,15
19147,1,201220,179,80,2,4,2,3, ,2,0,1,0, , , , , , , ,5,2,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,2,1,2, , , , , , , ,22204, , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,1, , , , , , , , , , , , , , , , ,4570, ,1990, ,2, ,1,4500,2, ,-7, ,-7, ,2, ,2, ,2,3,424,2,1,1,-7, , , ,1,30944, , ,60000, , , , , , , ,0,0,0,0,0,0,0,1,0,30000,40000,20,40,60,80, ,1,1,2,10,50,20,0
19307,1,201220,160,55,2,3,2,3, ,2,4,4,0,2, ,7,6,6, , , , ,1,-9,4, ,1, , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,126,2,1,3,2, , , ,1,-9,7, ,2000, , , , , , , ,0,0,0,0,0,0,0,1,0,1800,2300,30,10,15,20,0,1.8,2,2,15,20,25,10
19312,1,201220,186,84,5,4,1,3, ,2,15,40,3, , ,5,5,5, , , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,2,2,1,2,2,2,2,2,2,2,2,2, , , ,22000, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,1,750,2, ,2, ,2, ,2, ,2,1,150,1,1,-9,-7, , , ,1,-9,6, ,-9,6, , , , , , ,0,0,0,0,0,0,0,0,1,15000,30000,50,50,50,50, ,2,4,2,1,50,50,25
19397,1,201225,175,125,2,3,2,2,1,2,0,5,0, , ,10,9,7, , , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-9,-9,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,-9,1,1,-9,-7, , , ,2, , , ,-9,3, , , , , , ,1,1,0,0,1,1,0,0,0,0,0,,,,, ,0,0,3,0,0,0,0
19441,1,201220,185,100,2,2,1,3, ,2,0,0,0, , ,5,5,5, , , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,2,2,1,2,2,2,2,2,2,2,2,2, , , ,20964, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,1, , , , , , , , , , , , , , , , , , ,1513, ,2, ,2, ,2, ,-7, ,-7, ,2, ,1,250,2,4,1830,2,1,1,-7, , , ,1,19397, , ,39968, , , , , , , ,0,0,0,0,0,0,0,0,1,32000,50000,50,50,25,10, ,1.5,3,2,10,55,40,30
19444,1,201220,153,70,3,3,2,3, ,2,0,6,0, , , ,9,9, , , , ,1,27621, , ,1, , , , , , , , , , , ,2, , , , , , , , , , , , ,2,1,2,2,2, ,23170, , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,-9,2,1,1,2, , , ,2, , , ,-9,7, , , , , , ,0,0,0,0,0,0,1,0,0,14400,14400,,,,, ,2,3.5,3,1,50,20,10
19588,1,201220,177,102,1,3,2,2,1,2, , , , , , , ,8,8, , , ,1,63000, , ,1, , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,1, , , ,8600, , ,8000, , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,2,1467,2,1,1,2, , , ,2, , , ,46000, , , , , , , ,0,0,0,0,0,0,0,1,0,41000,43000,0,0,40,50, ,5,7,5,0,0,50,70
19588,2,201220,159,61,2,3,2,2,1,2, ,4, ,2, , ,8,8, , , , ,1,18000, , ,1, , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,2,570,2,1,1,2, , , ,2, , , ,46000, , , , , , , ,0,0,0,0,0,0,0,1,0,36000,46000,0,50,80,100,0,2,8,5,0,40,60,70
19588,3,201220,178,69,1,3,2,1, ,2, , , ,1,4,9,9,8, , , , ,1,39000, , ,1, , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,1,60,-7, ,-7, ,2, ,2, ,2,2,520,2,1,1,2, , , ,1,36000, , , , , , , , , , ,0,0,0,0,0,0,0,1,0,36000,40000,0,0,0,0,0,2,8,5,0,20,70,6
19630,1,201220,165,60,3,2,2,3, ,2, ,4, , , , , ,3,2, , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,2,2,1,2,2,2,2,2,2,1,2,2, , , ,2514, , , , , , , , , , , , , , , , , , , , ,840, , , , , ,2,2,2,2,2,2,2,2,2,1,1, , , , , , , , , , , , , , , , ,-9,1,-9,1,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,3,4,-9,2,1,1,-7, , , ,1,-9,-9,3068,-9,1, , , , , , ,0,0,0,0,0,1,1,0,0,0,6000,0,0,0,0, ,2,3.5,3,10,25,1,0
19680,1,201220,175,105,2,3,2,3, ,2,0,1,0,1,10,10,10,7, , , , ,1,18000, , ,1, , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,500, , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,105,1,1,1,2, , , ,1,17000, , ,-9,5, , , , , , ,0,0,0,0,0,0,0,1,0,15000,25000,20,40,50,80,35,3,5,3,0,1,35,5
19680,2,201220,170,80,2,3,2,3, ,2,0,0,0, , ,10,10,8, , , , ,1,2500, , ,1, , , , , , , , , , , ,1,1,1,5000, ,2, ,1,1,5300, ,2, , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , ,1000, , , ,-9,2,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,105,1,1,1,2, , , ,1,8000, , ,-9,6, , , , , , ,0,0,0,0,0,0,0,1,0,15000,18000,0,0,0,40, ,3,8,6,50,50,10,0
19968,1,201225,170,77,2,3,2,2,1,2,1,1,0,2, ,7,7,6, , , , ,1,-9,4, ,3, , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,1,-9,2, ,1,-9,2, ,2, ,2,1,-9,2,1,2,1,33000,12,4,1,-9,7, ,-9,8, , , , , , ,0,0,0,0,0,0,0,1,0,35000,35000,,,,,0,2.5,5,3,10,30,10,1
19968,2,201220,176,82,3,4,2,3, ,2, ,4, ,1,24,7,7,6, , , , ,1,-9,-9,-9, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,1,-9,2, ,2, ,2, ,2, ,2,1,-9,2,1,1,2, , , ,1,-9,-9,-9,-9,9, , , , , , ,0,0,0,0,0,0,0,1,0,50000,70000,10,30,50,70,40,3,10,7,40,60,40,30
20022,1,201220,178,85,1,3,2,3, ,2,0,0,0,2, ,5,5,5, , , , ,1,0, , ,1, , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,1, , , , , , , , , , , , , , , , ,0, ,0, ,2, ,2, ,2, ,-7, ,-7, ,1,0,1,0,2,1,0,2,1,6,2, , , ,1,0, , ,0, , , , , , , ,0,0,0,0,0,0,0,1,0,0,0,,,,,50,50,50,2,50,50,50,50
20022,2,201220,165,65,2,3,2,3, ,2,1,1,0, , ,5,5,5, , , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,0,2,2,6,-7, , , ,1,0, , ,0, , , , , , , ,0,0,0,0,0,0,0,1,0,0,0,,,,, ,2.5,4,4,50,50,50,50
20022,3,201220,183,66,1,3,2,3, ,2,0,0,0, , ,5,5,5, , , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,1,0,2, ,-7, ,-7, ,2, ,2, ,2,1,-9,2,2,6,-7, , , ,2, , , , , , , , , , , ,0,0,0,0,0,0,0,1,0,0,0,,,,, ,1,3,3,50,50,50,50
20022,4,201220,180,60,2,3,2,3, ,2,0,0,0, , ,5,5,5, , , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,0,2,2,6,-7, , , ,2, , , , , , , , , , , ,0,0,0,0,0,0,0,1,0,0,0,,,,, ,1,5,4,50,50,50,50
20155,1,201225,170,88,1,3,2,3, ,2, , , , , , , ,10,9, , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,1, , , ,7320, , ,19729, , , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,-9,1, , , , ,2,2,1,2,2,2,2,2,2,2,2, , ,1497, , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,2, ,2, ,2, ,2,1,130,1,2,1,-7, , , ,1,13000, , ,25000, , , , , , , ,0,0,0,0,0,0,0,1,0,25000,25000,,,,, ,1,2,2,2,0,1,0
20251,1,201220,174,90,1,3,2,3, ,2,0,0,0,2, ,3,0,0, , , , ,1,35000, , ,1, , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2,1,153,2,1,-9,2, , , ,1,-9,6, ,20000, , , , , , , ,0,0,0,0,0,0,0,1,0,20000,20000,,,,,50,3,5,4,0,0,0,0
20319,1,201228,172,57,2,3,2,3, ,2,0,1,0,2, ,8,6,4, , , , ,1,-9,4, ,3, , , , , , , , , , , ,1,1,1,600, ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,1, , , , , , , , , , , , , , , , , , ,-9,1,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,124,2,1,1,2, , , ,1,-9,7, ,-9,8, , , , , , ,0,0,0,0,0,0,0,1,0,30000,40000,10,20,40,80,20,2,4.5,3,0,20,60,30
20520,2,201228,171,57,2,3,2,3, ,2,1,1, , , ,8,7,7, , , , ,1,35000, , ,1, , , , , , , , , , , ,1,1,1,15000, ,2, ,1,1,0, ,2, , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,17000, , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,1,113,1,1,2,1,35000,6,2,1,45000, , ,110000, , , , , , , ,0,0,0,0,0,0,0,1,0,110000,150000,100,100,100,100,0,2,4,3,0,0,70,0
20523,1,201220,193,93,2,3,2,3, ,2, ,3, , , , , , , , ,8,7,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,1, , , ,9445, , ,9090, , , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,1427, , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2,1,-9,1,1,2,2, , , ,1,17939, , ,-9,6, , , , , , ,0,0,0,0,0,0,0,1,0,15000,19000,20,20,40,10, ,2.1,4,3,25,30,20,0
20523,2,201220,180,80,1,3,2,3, ,2, ,6, , , , , , , , ,8,7,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,1, , , ,9445, , ,990, , , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,1427, , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2,1,-9,1,1,2,2, , , ,1,10435, , ,-9,6, , , , , , ,0,0,0,0,0,0,0,1,0,18000,20000,10,10,15,15, ,3,5,4,0,0,20,0
20804,2,201225,173,79,2,3,2,1, ,2,0,0,0,2, ,8,6,5, , , , ,1,21000, , ,1, , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,65, ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2,1,-9,2,1,1,2, , , ,1,-9,7, ,-9,7, , , , , , ,1,0,0,0,0,0,1,0,0,10000,20000,50,50,80,100,0,3.5,3.5,3,0,50,50,0
20887,1,201220,167,109,2,3,2,3, ,2,0,0,0,2, ,9,8,7, , , , ,1,32814, , ,1, , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , ,176, ,6300, ,1328, ,2,2,2,2,2,2,1,2,2,2,2, , , , , , , , , , ,2071, , , , , , , , , ,2, ,2, ,1,147,2, ,2, ,2, ,2, ,2,1,128,2,2,1,2, , , ,2, , , ,32814, , , , , , , ,0,0,0,0,0,0,0,1,0,35000,40000,60,50,40,30,0,-3.2,-3.8,3,0,50,20,10
