nohhold,nomem,inkhh,inknorm,inkrond,finsitu,inkeven,inkaank,inksec,loan1,loan2,loan3,ink25a,ink25b,ink25c,ecsit,zinvol,opzij,hoevopzy,opzij12,spaarm01,spaarm02,spaarm03,spaarm04,spaarm05,spaarm06,spaarm07,spaarm08,spaarm09,spaarm10,spaarm11,spaarm12,spaarm13,spaarm14,spaarm15,spaarm16,spaar1,spaar2,spaar3,spaar4,spaar5,spaar6,beschryf,toek01,toek02,toek03,toek04,toek05,toek06,toek07,toek08,toek09,toek10,toek11,toek12,uitgeven,plannen,periode1,bijhoud,potjes,pin1,pin2,chip1,chip2,autom,foon,intern,zon,her1,her2,her3,her4,baby,plan,uitspr,hhrela,beslis,geldh,geluk,kenltd,kenhh,kenink,kenopl,kenwerk,manuur,vrouwuur,kunde,advies,con01,con02,con03,con04,con05,con06,con07,con08,con09,con10,work01,work02,work03,work04,work05,work06,work07,work08,work09,jeugd1,jeugd2,jeugd3,jeugd4,jeugd5,jeugd6,jeugd1_x,jeugd2_x,jeugd3_x,jeugd4_x,jeugd5_x,jeugd6_x,toek01_x,toek02_x,toek03_x,toek04_x,toek05_x,toek06_x,toek07_x,toek08_x,toek09_x,toek10_x,toek11_x,toek12_x
12352,1,4,2,4,4,3, , ,-7,1,2,4,2, ,3,1,1,2,1,1,5,6,7,7,7,1,5,2,7,4,1,6,7,7,4,7,7,1,7,1,1,1, , , , , , , , , , , , ,6,2,3,5,4,1,3,1,2,3,2,5,50,90,50,0,90,1,1,3,2,3,1,2,10,3,8,6,4,45,30,2,8,3,2,1,3,4,4,2,3,1,5, , , , , , , , , , , , , , , ,4,5,1,3,4,1,4,2,6,6,5,1,4,3,6,6,6,4
12352,2,4,2,4,4,3, , ,2,2,2,4,2, ,2,1,1,2,2,1,2,4,4,6,2,2,6,2,6,5,1,5,5,5,5,7,7,1,7,2,2,1, , , , , , , , , , , , ,4,2,3,4,2,1,4,1,2,3,1,4,10,80,0,0,90,1,-9,3,2,3,1,2,12,2,-9,6,5,30,10,1,4,3,2,4,2,3,4,2,4,1,5, , , , , , , , , , , , , , , ,3,1,2,3,2,1,4,6,3,3,2,6,2,6,3,5,4,4
12364,1,3,2,4,4,2, , ,2,2,2,3,2, ,3,2,1,2,2,3,4,4,4,4,3,2,4,2,5,4,2,3,4,4,4,5,5,3,5,1,1,-7, , , , , , , , , , , , ,5,2,2,3,2,1,3,2, ,3,1,3,50,90,90,10,80,1,1,3, , , ,3,8,2,-9,4,4,32,32,2,2,2,2,3,3,4,4,2,3,2,3,2,2,3,3,2,4,3,3,4, , , , , , ,4,3,1,3,4,2,3,4,2,3,4,3,4,3,4,4,4,4
12382,1,-9, ,3,4,2, , ,2,3,2,3,1,3,3,1,1,-9,2,1,1,4,5,6,1,4,4,1,5,5,1,1,5,6,1, , , , , , , ,6,4,4,4,4,4,4,4,4,4,4,4,5,4,2,4,2,1,3,2, ,1,1,4,70,0,0,0,80,1,1,3,2,3,1,2,10,2,-9,4,2,40,40,2,8,5,3,3,1,5,5,3,4,1,4, , , , , , , , , ,4,1,1,1,3,4, , , , , , , , , , , , , , , , , , 
12385,1,3,2,4,4,3, , ,-7,2,2,4,2, ,3,1,1,1,2,3,5,5,4,5,2,2,5,3,6,3,3,6,6,6,3,7,7,2,6,2,4,-7, , , , , , , , , , , , ,6,1,2,5,1,1,3,1,1,3,1,2,50,0,0,0,5,1,1,5,1,3,1,2,11,2,-9,3,5,0,0,2,9,4,1,4,1,4,4,1,4,1,4, , , , , , , , , , , , , , , ,4,5,1,4,1,2,6,5,3,5,5,4,5,4,3,4,3,5
12389,1,4,2,4,4,3, , ,2,2,2,4,2, ,3,1,1,2,1,1,4,6,6,2,2,2,4,1,6,6,1,5,5,2,4,6,4,2,6,1,1,-7, , , , , , , , , , , , ,5,2,4,5,1,1,4,2, ,3,3,3,80,60,0,0,100,1,1,3, , , ,1,10,2,-9,6,4,32,24,3,6,4,2,3,2,4,4,2,4,1,5,6,6,6,6,4,6,2,6,6, , , , , , ,4,5,2,3,2,2,5,5,4,5,4,4,6,4,2,4,4,4
12409,1,3,2,3,3,2, , ,-7,3,2,3,2, ,2,3,2, ,3,2,3,1,4,5,1,1,4,2,5,5,2,4,5,4,4,1,7,1,1,1,1,-7, , , , , , , , , , , , ,5,3,4,4,1,1,2,1,1,2,3,4,30,0,0,0,75,1,1,3,2,3,1,3,10,2,-9,3,5,30,35,2,6,4,3,3,2,4,4,4,4,2,4, , , , , , , , , , , , , , , ,3,5,2,3,3,3,5,5,5,2,5,1,4,4,1,1,1,4
12417,1,4,2,4,4,1,1,3,-7,2,1,4,1,4,2,1,2, ,1,2,4,6,6,6,6,6,4,3,6,6,1,3,6,6,5,1,7,1,6,3,1,1, , , , , , , , , , , , ,6,4,4,4,1,1,4,2, ,1,1,1,60,100,100,0,100,1,1,2,3,3,3,3,9,3,7,3,4,24,24,3,2,2,3,2,3,3,2,4,3,2,5,5,5,5,3,4,4,5,5,2, , , , , , ,4,5,1,4,4,4,4,5,3,4,4,3,4,5,4,4,5,3
12419,1,5,2,4,2,1,1,2,-7,1,2,2,1,4,5,2,1,-9,3,1,4,7,7,6,7,5,6,1,6,7,7,1,7,6,7,7,4,5,7,5,1,-7, , , , , , , , , , , , ,6,2,3,3,1,1,4,2, ,3,1,4,90,90,90,25,90,2, , ,1,3,1,1,7,2,-9,6,4,32,32,2,1,3,3,2,1,5,5,3,4,1,5,7,7,7,7,5,4,2,7,4, , , , , , ,3,2,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4
12419,3,5,2,4,2,1,1,3,-7,1,2,2,1,4,5,2,1,-9,2,1,7,7,7,7,7,4,7,1,7,7,7,3,7,7,7,4,2,6,7,4,4,3, , , , , , , , , , , , ,6,2,3,2,1,1,4,2, ,3,1,4,90,90,90,80,90,1,1,5,1,3,1,1,7,2,-9,5,4,36,36,4,6,3,3,1,5,3,5,3,4,1,3,2,1,7,4,5,7,2,1,4, , , , , , ,1,3,4,1,2,1,3,3,3,2,5,7,4,4,5,6,6,4
12421,1,4,2,3,4,2, , ,-7,2,2,3,2, ,3,1,1,2,1,2,2,6,5,5,2,5,5,3,6,6,1,3,5,5,5,4,7,7,6,2,6,-7, , , , , , , , , , , , ,5,2,3,3,1,1,4,2, ,3,1,3,50,50,20,5,95,2, , , , , ,3,8,3,-9,2,4,40,20,2,1,4,2,3,2,4,4,3,4,2,4,4,5,4,6,4,2,4,6,2, , , , , , ,1,4,4,4,1,1,5,4,4,4,4,4,5,5,2,4,4,4
12422,2,4,2,2,2,2, , ,2,2,2,3,2, ,3,1,1,1,1,7,7,6,6,7,1,1,4,6,6,4,3,6,7,5,5,7,7,1,7,1,1,-7, , , , , , , , , , , , ,4,4,1,4,1,1,4,1,1,3,1,4,75,100,100,0,100,1,3,2,2,3,1,2,7,4,8,5,4,40,16,1,1,3,2,1,1,3,4,2,4,1,5, , , , , , , , , , , , , , , ,1,5,2,3,1,2,3,3,4,4,4,4,5,4,5,4,4,4
12446,1,4,2,3,2,2, , ,2,2,2,3,2, ,3,2,1,2,2,1,4,7,6,6,1,4,6,1,4,6,1,4,7,5,4,6,4,1,6,4,4,2, , , , , , , , , , , , ,5,2,2,4,2,1,4,1,1,1,2,5,10,50,30,0,90,1,1,3,1,3,1,1,10,2,8,5,4,38,38,2,6,4,1,2,1,3,4,1,4,1,4, , , , , , , , , , , , , , , ,2,4,3,4,1,1,2,2,4,2,2,2,5,4,4,5,5,4
12458,1,3,3,3,3,2, , ,2,1,2,3,2, ,2,2,1,-9,2,1,2,6,6,6,1,1,6,1,5,6,1,5,6,1,6,1,1,1,1,1,1,-7, , , , , , , , , , , , ,5,2,1,1,1,1,4,1,2,1,1,5,50,0,0,0,20,1,1,5,2,2,1,1,6,3,-9,4,4,32,20,1,8,3,3,3,3,3,3,3,3,3,3, , , , , , , , , , , , , , , ,4,5,1,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1
12460,2,4,2,4,4,2, , ,2,2,2,3,2, ,2,2,1,2,2,4,1,1,4,4,1,1,4,1,4,1,1,3,5,5,4,1,7,1,7,7,1,-7,3,3,6,6,4,1,6,5,4,5,4,3,5,4,4,2,2,1,4,2, ,2,1,4,75,50,0,0,100,1,1,3,2,3,1,2,10,2,-9,4,4,0,0,3,8,3,3,1,3,3,3,3,3,1,3,1,1,1,1,1,1,1,1,1,4,5,1,4,4,4, , , , , , , , , , , , , , , , , , 
12463,1,4,2,3,4,3, , ,-7,1,2,3,2, ,3,2,1,2,1,1,5,5,7,7,1,1,2,1,7,5,1,3,7,7,2,7,7,1,5,1,2,-7, , , , , , , , , , , , ,6,5,3,1,2,1,4,1,1,1,1,5,65,95,5,0,99,1,1,3,1,3,1,2,6,3,7,6,4,32,24,2,1,5,1,4,1,5,5,1,4,2,5, , , , , , , , , , , , , , , ,3,2,2,4,3,1,6,2,2,3,3,6,5,4,2,2,3,5
12466,1,4,2,4,4,3, , ,2,1,2,4,1,3,3,1,1,2,1,1,1,5,6,5,1,4,7,3,5,5,1,1,6,6,5,7,3,1,6,1,1,2, , , , , , , , , , , , ,5,1,3,3,1,1,4,1,2,1,2,5,50,100,100,100,100,2, , ,1,3,1,2,11,2,-9,4,5,0,0,3,3,4,1,3,1,3,4,1,4,1,3, , , , , , , , , , , , , , , ,4,3,3,3,3,2,2,1,4,2,6,2,3,2,4,2,1,2
12467,1,2,1,2,3,2, , ,-7,2,2,4,2, ,-9,2,2, ,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,1,4,4,4,-7, , , , , , , , , , , , ,5,4,1,4,1,1,2,1,2,1,1,3,50,0,0,0,50,1,1,5,3, , ,3,9,3,-9,4,4,50,50,2,6,5,1,3,1,3,3,1,3,1,5, , , , , , , , , , , , , , , ,4,3,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4
12471,1,4,2,2,1,1,2, ,-7,2,2,3,2, ,4,4,2, ,3,1,2,3,6,6,4,2,4,1,6,4,1,1,6,5,3,6,7,1,5,5,1,-7, , , , , , , , , , , , ,6,5,1,4,3,1,4,2, ,1,1,4,50,10,0,0,25,1,1,4,1,4,3,3,7,3,9,4,4,40,32,2,8,2,2,4,3,4,4,3,4,4,3,5,6,4,5,3,2,5,6,2, , , , , , ,1,2,4,2,4,2,2,2,6,4,4,5,5,4,4,4,3,4
12471,2,4,2,2,1,1,2, ,-7,2,2,3,2, ,3,3,2, ,3,2,3,2,6,6,3,2,3,1,5,4,1,2,2,4,5,7,7,2,3,2,3,-7, , , , , , , , , , , , ,4,6,1,3,1,1,3,2, ,1,4,1,30,30,0,0,25,1,1,3,1,1,2,2,4,2,8,6,4,40,40,1,1,2,5,3,2,3,4,4,3,3,2,4,5,4,4,6,6,5,6,3, , , , , , ,1,5,4,4,3,3,2,3,6,5,5,5,5,4,5,4,5,6
12473,1,4,2,3,4,3, , ,2,1,2,4,2, ,2,1,1,2,1,5,5,7,7,7,1,5,5,5,7,7,1,6,7,1,7,6,2,1,7,1,1,3, , , , , , , , , , , , ,5,3,1,5,1,1,4,2, ,3,1,5,60,60,0,0,100,1,1,3, , , ,2,10,2,9,7,4,40,32,2,8,1,4,2,1,3,5,3,4,2,3,7,7,7,7,7,7,2,3,1, , , , , , ,4,5,1,3,4,4,4,3,5,5,3,2,6,4,2,4,5,4
12490,2,5,2,4,2,1,1,3,-7,1,2,3,1,4,4,2,1,4,1,4,5,6,6,7,7,2,7,4,7,5,2,4,7,7,7,5,2,1,6,2,2,3, , , , , , , , , , , , ,5,4,3,4,1,1,4,1,2,1,1,5,80,50,0,0,50,1,1,3,1,3,2,2,5,4,9,6,4,40,32,3,8,3,2,3,2,5,4,1,5,1,5,7,7,6,7,7,7,4,4,4, , , , , , ,1,5,3,2,2,1,4,2,5,3,5,5,5,2,3,5,4,2
12499,1,4,2,3,3,2, , ,-7,2,2,3,2, ,3,3,2, ,3,4,5,5,5,4,3,3,4,4,5,5,4,3,5,5,4,3,4,4,4,5,5,-7, , , , , , , , , , , , ,5,5,3,4,2,1,4,2, ,1,2,4,10,25,0,0,25,1,1,5,2,3,-7,2,7,4,10,6,4,40,20,3,1,1,4,2,1,3,4,3,4,1,4,5,5,5,5,5,2,5,5,5, , , , , , ,2,2,2,2,2,2,5,4,5,4,5,4,3,5,5,5,4,5
12512,1,4,2,3,3,2, , ,2,2,2,3,2, ,3,2,1,1,1,2,6,5,5,4,2,2,4,2,5,4,1,3,6,5,4,5,3,1,5,1,1,2, , , , , , , , , , , , ,2,3,2,1,1,1,4,1,2,1,1,4,25,75,0,0,100,1,1,3,3, , ,3,9,3,7,4,4,38,20,2,6,4,1,4,1,4,4,1,4,1,5,7,5,5,6,5,3,4,5,2, , , , , , ,3,5,4,1,3,3,3,2,5,4,4,3,3,3,4,2,5,5
12514,2,4,2,3,4,3, , ,-7,2,2,3,2, ,3,1,1,2,1,4,7,5,7,7,1,1,4,4,7,7,1,4,7,6,5,7,7,1,7,1,1,1, , , , , , , , , , , , ,6,1,1,3,1,1,2,2, ,3,1,4,30,60,40,0,50,1,1,3,3,4,1,3,13,1,7,5,4,0,0,2,1,5,1,3,1,4,4,4,3,1,5, , , , , , , , , , , , , , , ,1,5,1,4,1,1,6,6,1,4,1,4,7,7,1,4,1,1
12516,1,5,1,1,1,1,1,1,1,5,2,2,1,3,1,-9,2, ,1,1,3,3,5,2,2,3,2,2,4,2,3,1,6,2,7,1,4,3,4,3,5,1, , , , , , , , , , , , ,7,4,1,5,1,1,4,1,2,2,1,5,100,0,0,0,0,2, , ,2,3,1,1,6,2,9,5,4,36,28,4,8,5,5,5,5,1,1,1,1,1,5,7,7,7,7,7,7,7,7,7, , , , , , ,4,5,1,1,1,1,4,3,5,4,4,4,2,5,3,4,4,4
12516,2,-9, ,1,1,1,1,1,1,5,2,1,2, ,1,-9,2, ,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4, , , , , , , , , , , , , , , , , , , ,7,7,1,1,1,1,4,2, ,2,1,2,100,0,0,0,0,2, , ,1,1,2,-9,5,2,5,6,4,36,28,4,8,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4, , , , , , ,3,4,4,4,4,4,4,4,3,3,6,1,4,3,3,6,1,2
12520,2,-9, ,3,4,2, , ,1,2,2,3,2, ,3,2,1,2,1,1,1,4,7,4,6,2,7,1,7,4,1,6,7,7,5, , , , , , , ,5,5,3,7,5,3,7,4,2,3,2,5,5,6,1,3,1,1,2,1,1,1,1,5,10,100,100,0,100,1,-9,3,2,4,1,2,6,4,-9,6,4,36,24,1,8,4,3,4,1,5,5,4,4,1,4,6,7,5,7,6,4,5,7,5,2,2,5,3,3,4, , , , , , , , , , , , , , , , , , 
12522,1,4,2,4,4,2, , ,-7,2,2,4,2, ,2,2,1,3,1,7,7,6,6,7,4,4,5,7,7,6,1,7,7,7,7,1,1,1,1,1,1,-7, , , , , , , , , , , , ,5,1,1,5,2,1,4,2, ,3,1,4,40,90,80,10,100,1,1,2,1,3,1,2,11,2,-9,5,4,0,0,3,8,5,1,5,1,5,5,3,4,1,5, , , , , , , , , , , , , , , ,4,4,1,4,1,1,5,1,7,4,5,2,4,4,4,4,4,4
12522,2,4,2,4,4,3, , ,2,2,2,4,2, ,2,2,1,3,2,7,7,7,7,7,1,5,5,7,7,7,1,7,7,7,7,1,1,1,1,1,1,-7, , , , , , , , , , , , ,6,1,1,5,2,1,3,1,1,3,1,5,40,100,100,20,100,1,2,2,1,3,1,2,11,2,-9,5,4,0,0,3,8,5,1,4,1,5,5,1,4,1,5, , , , , , , , , , , , , , , ,4,4,1,4,1,1,7,7,1,7,7,1,5,5,3,6,3,4
12524,1,4,2,4,4,2, , ,-7,2,2,3,1,3,2,1,1,2,1,1,1,7,7,7,1,7,7,1,7,7,1,1,7,7,7,4,1,1,4,7,6,3, , , , , , , , , , , , ,7,1,3,3,1,1,4,1,1,1,1,5,50,100,100,0,100,2, , ,1,3,1,1,10,2,8,4,2,45,40,2,2,4,1,5,1,5,5,5,3,5,5, , , , , , , , , , , , , , , ,3,1,5,1,2,1,3,1,4,7,4,4,1,1,4,4,3,4
12524,2,4,2,5,4,3, , ,-7,3,2,4,1,4,2,1,1,2,1,1,1,7,7,7,1,4,7,1,7,6,1,1,7,6,7,4,1,1,6,4,6,3, , , , , , , , , , , , ,5,2,4,4,1,1,2,2, ,1,1,4,75,0,0,0,50,2, , ,1,3,1,2,10,2,8,4,4,36,36,2,8,3,1,3,1,4,5,2,4,1,5,7,7,5,7,7,1,4,7,4, , , , , , ,4,5,1,2,2,2,6,4,1,5,7,3,1,5,1,4,1,2
12530,1,4,2,4,4,2, , ,2,2,2,3,2, ,3,1,1,3,1,2,5,6,6,6, ,3,6,3,6,5,1,3,6,5,6,4,7,2,7,1,1,-7, , , , , , , , , , , , ,6,1,4,3,2,1,4,1,1,3,3,5,15,0,0,0,0,1,1,3,2,4,1,2,9,4,-9,5,4,36,20,2,4,3,1,3,1,4,4,4,3,2,4,7,7,7,6,6,3,2,7,7, , , , , , ,1,4,1,4,4,1,3,3,3,3,3,3,2,4,4,4,4,4
12537,1,4,2,4,4,3, , ,2,3,2,4,2, ,2,1,1,3,2,7,6,5,6,5,7,4,4,6,6,6,3,5,7,6,6,7,4,5,7,1,2,1, , , , , , , , , , , , ,7,1,1,1,1,1,2,2, ,1,1,5,70,90,60,0,90,1,1,2,1,2,1,2,13,2,9,6,5,25,30,1,2,4,1,2,1,3,4,4,3,1,4, , , , , , , , , , , , , , , ,4,5,1,4,1,2,3,3,5,4,4,3,5,4,4,5,3,5
12550,1,3,2,4,4,2, , ,2,2,2,3,2, ,2,1,1,1,1,4,4,4,7,7,2,3,5,3,6,6,2,4,6,6,5,7,6,5,5,1,2,-7, , , , , , , , , , , , ,5,2,2,4,1,1,2,2, ,2,1,3,30,40,10,0,90,1,-9,2,2,3,1,2,11,2,7,5,4,40,20,2,4,3,5,3,4,5,4,3,4,2,5, , , , , , , , , , , , , , , ,3,2,2,2,3,1,3,3,4,3,6,3,5,3,4,6,5,6
12550,2,3,-9,3,3,2, , ,-7,2,2,3,2, ,3,1,1,1,2,5,6,6,5,6,4,4,5,5,6,6,2,5,5,4,5,6,4,2,5,1,2,-7, , , , , , , , , , , , ,6,4,1,3,1,1,2,2, ,2,1,3,40,50,0,0,90,1,1,3,2,3,1,2,11,2,-9,2,5,0,0,1,4,3,2,3,2,3,4,2,3,2,4, , , , , , , , , , , , , , , ,4,5,2,4,3,2,1,3,4,2,4,2,2,3,6,5,5,4
12552,1,5,2,3,3,2, , ,-7,2,2,3,2, ,2,2,1,1,2,3,5,6,6,6,3,2,4,4,5,5,1,4,5,5,5,5,5,3,5,3,1,-7, , , , , , , , , , , , ,5,3,3,4,1,1,3,1,1,3,1,5,10,30,0,0,30,1,1,3,1,3,1,2,9,4,-9,5,4,36,22,2,6,3,2,3,2,4,4,2,3,2,4,4,3,3,5,3,5,5,5,1, , , , , , ,1,5,1,2,3,2,4,3,5,3,3,4,4,4,4,4,4,3
12554,1,4,2,3,4,2, , ,-7,3,2,3,2, ,3,2,1,1,2,1,5,7,4,6,1,4,6,1,4,6,1,1,4,2,5,5,6,2,6,2,2,-7, , , , , , , , , , , , ,6,2,3,4,1,1,3,2, ,3,1,3,0,0,0,0,2,1,1,3,2,3,1,1,9,4,8,3,4,40,20,2,6,5,1,1,1,4,4,1,3,2,4, , , , , , , , , , , , , , , ,4,4,2,4,1,1,6,5,3,6,4,3,6,5,5,5,5,4
12554,2,4,2,3,4,2, , ,2,4,2,3,2, ,2,2,1,2,2,2,6,6,6,6,1,4,6,3,6,6,1,4,4,4,5,5,6,1,5,3,1,4, , , , , , , , , , , , ,3,2,1,4,1,1,3,1,1,1,1,5,75,50,10,1,75,1,1,3,1,4,1,2,10,2,-9,3,2,40,24,3,8,3,2,3,2,4,4,2,4,2,4,6,6,6,6,5,6,5,4,3, , , , , , ,1,2,3,2,2,3,5,3,5,6,5,3,5,4,3,3,3,3
12557,1,3,2,3,2,2, , ,2,1,2,3,2, ,4,1,2, ,1,1,1,4,6,7,1,1,5,1,6,6,1,1,7,5,4,6,6,1,6,1,2,-7, , , , , , , , , , , , ,4,5,2,4,2,1,3,1,1,1,2,4,50,70,0,0,70,2, , , , , ,2,8,2,-9,6,4,38,30,2,6,3,2,1,3,4,4,2,3,2,4,7,7,6,6,5,1,4,7,5, , , , , , ,4,5,5,3,3,4,5,5,2,2,5,1,5,4,3,2,2,2
12560,2,5,2,4,2,2, , ,2,4,2,2,2, ,2,2,2, ,3,1,2,1,1,4,1,1,4,1,4,1,1,2,4,2,1,7,7,1,7,1,1,-7, , , , , , , , , , , , ,5,1,1,5,1,1,4,1,2,1,1,5,10,100,0,0,100,1,1,5, , , ,3,12,1,6,4,4,0,0,2,9,4,2,4,2,4,4,3,4,1,5, , , , , , , , , , , , , , , ,4,5,1,4,4,3,5,5,3,4,4,2,5,4,3,6,4,3
12577,2,4,2,3,3,2, , ,2,2,2,3,2, ,3,2,2, ,2,4,6,6,6,6,3,2,6,4,6,6,4,5,6,6,6,6,6,4,5,3,2,-7, , , , , , , , , , , , ,3,5,3,3,2,1,3,1,1,1,1,5,70,50,20,0,90,1,1,3,1,3,1,2,7,4,7,5,4,45,20,2,1,4,2,3,2,4,4,2,4,1,4,6,3,6,6,5,2,1,1,1, , , , , , ,4,3,4,3,3,3,5,4,5,5,4,3,5,5,3,4,4,4
12580,2,3,2,3,4,2, , ,2,3,2,3,2, ,3,2,1,1,2,5,5,5,4,4,3,4,4,5,5,5,4,5,5,5,6,5,5,5,5,5,5,2, , , , , , , , , , , , ,5,4,1,4,2,1,3,2, ,2,1,1,50,0,0,0,50,1,1,2,2,3,1,3,12,2,7,3,5,10,0,2,5,4,2,2,1,2,2,2,2,1,3, , , , , , , , , , , , , , , ,4,5,1,4,1,1,6,6,4,6,6,5,6,6,4,5,5,4
12591,1,4,2,3,4,2, , ,2,2,2,4,1,3,4,1,1,3,1,1,3,5,5,6,2,4,5,2,6,4,2,3,6,6,5,6,4,6,4,5,4,3, , , , , , , , , , , , ,4,4,3,3,2,1,3,1,1,1,1,5,40,80,30,2,80,1,1,2,2,3,1,2,8,4,9,5,4,36,15,2,4,4,4,3,1,5,5,3,4,1,4,5,3,5,6,2,6,5,2,4, , , , , , ,2,4,3,2,2,3,5,4,3,2,3,3,5,5,3,3,5,4
12591,2,4,2,3,4,2, , ,2,2,2,3,2, ,3,1,1,2,2,2,3,6,5,5,3,5,7,2,7,5,1,4,6,6,6,3,3,1,4,3,4,1, , , , , , , , , , , , ,5,5,3,3,2,1,3,1,1,1,1,5,80,80,30,5,95,1,-9,3,3,3,1,2,8,4,9,5,4,40,15,1,6,4,1,3,1,4,3,2,5,1,4,6,1,5,7,5,1,5,1,5, , , , , , ,4,4,3,2,2,2,5,6,4,3,4,5,4,5,1,3,4,5
12591,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,7,1,1,4,4,-7, , , , , , , , , , , , ,6,5,3,4,1,1,3,2, ,1,1,2,75,10,5,0,40,2, , ,2, , ,2,2,1,2,2,4,36,28,2,1,3,5,3,1,2,3,3,4,2,2, , , , , , , , , , , , , , , ,1,3,4,2,2,2,5,2,4,3,5,4,2,3,4,4,3,2
12602,2,4,2,3,2,2, , ,2,2,2,3,1,3,3,2,1,1,1,5,5,6,6,6,4,4,6,5,6,6,4,4,6,6,6,6,6,2,6,3,3,-7,3,3,6,4,6,4,6,5,5,6,6,5,2,6,1,2,1,1,4,1,1,1,1,4,75,100,100,80,60,1,1,3,1,3,1,1,9,4,8,5,4,36,24,2,1,3,4,2,4,2,4,4,4,4,2,7,7,6,7,7,7,4,7,6,1,1,1,2,1,1, , , , , , , , , , , , , , , , , , 
12603,1,3,1,3,3,2, , ,2,5,2,3,2, ,2,4,2, ,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,4,4,4,7,1,4,1,1,-7, , , , , , , , , , , , ,4,2,1,4,1,1,3,2, ,1,1,5,20,0,0,0,0,1,1,4,1,3,3,3,12,3,-9,6,1,8,10,2,8,3,4,2,3,4,4,3,3,3,3, , , , , , , , , , , , , , , ,4,5,1,1,2,3,4,4,3,3,4,2,5,4,3,2,2,4
12622,1,4,2,3,2,1,2, ,2,2,2,2,2, ,3,2,1,2,1,1,4,1,6,4,1,1,1,1,5,3,1,1,6,3,1,4,1,1,5,1,1,-7, , , , , , , , , , , , ,4,3,2,5,1,1,4,2, ,3,2,5,75,0,0,0,50,1,1,3,1,3,1,2,8,4,9,4,4,38,20,2,3,4,2,5,1,4,4,1,4,1,4,7,5,6,6,5,4,4,3,3, , , , , , ,4,4,4,3,4,3,5,4,3,3,5,3,4,5,4,4,5,4
12622,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,-7, , , , , , , , , , , , ,1,3,1,2,1,1,2,2, ,1,1,4,80,0,0,0,0,2, , ,1, , ,2,2,4,9,3,4,40,15,1,1,3,4,2,4,2,2,4,2,4,3, , , , , , , , , , , , , , , ,3,4,3,2,1,2,2,1,5,1,1,1,1,1,7,2,5,1
12650,1,3,2,3,3,2, , ,-7,2,2,3,2, ,2,3,2, ,3,1,3,5,4,6,1,2,6,2,5,5,1,6,6,2,5,6,3,1,7,1,3,2, , , , , , , , , , , , ,6,5,1,1,1,1,2,2, ,3,1,3,30,20,0,0,20,1,1,3,3,1,1,3,11,2,6,2,5,0,0,1,4,3,2,2,2,3,4,3,4,2,4,4,3,6,5,6,2,2,3,5, , , , , , ,3,3,3,2,3,2,4,4,6,6,6,2,5,3,6,6,6,6
12650,2,4,2,3,2,2, , ,-7,2,2,3,2, ,3,2,1,2,2,2,3,6,6,6,2,5,5,3,5,2,2,6,6,4,5,5,5,2,6,3,4,-7, , , , , , , , , , , , ,5,4,4,3,1,1,3,2, ,1,1,4,50,20,5,0,30,1,1,3,2,4,1,3,10,2,7,2,5,30,0,2,4,4,2,2,2,4,4,1,2,2,4, , , , , , , , , , , , , , , ,3,3,5,2,2,2,5,4,2,2,5,4,2,5,2,2,3,2
12659,1,5,2,4,4,2, , ,2,1,2,3,2, ,4,2,1,3,2,3,7,6,5,3,4,4,6,3,7,5,2,6,7,5,5,6,3,2,6,4,2,1, , , , , , , , , , , , ,5,2,2,4,2,1,4,1,1,1,1,5,65,99,95,75,100,1,3,2,1,3,1,2,5,2,9,7,4,38,38,3,8,2,3,4,2,5,4,2,3,2,4,3,2,6,7,7,7,2,2,4,1,5,2,2,2,2, , , , , , ,5,5,3,2,5,3,6,4,3,3,2,3
12660,1,2,2,2,1,1,1,1,2,3,2,2,2, ,-9,-9,2, ,-9,1,1,4,4,4,4,1,4,1,7,7,1,1,7,1,1,7,7,1,7,1,1,-7, , , , , , , , , , , , ,4,1,3,5,1,1,4,1,3,2,2,5,50,0,0,0,50,2, , , , , ,2,12,1,-9,1,4,40,0,1,9,3,1,1,1,5,5,2,4,1,5, , , , , , , , , , , , , , , ,1,5,5,4,4,4,1,1,1,1,1,1,7,7,1,4,4,4
12673,1,3,2,2,1,1,1,2,1,2,2,1,2, ,1,1,2, ,3,2,2,4,4,4,2,3,4,3,6,6,2,4,6,5,6,5,5,3,5,3,3,1, , , , , , , , , , , , ,4,5,2,3,2,2, ,2, ,1,1,3,0,0,0,0,0,1,1,3,1,2,1,2,5,4,6,5,4,40,20,2,6,3,3,2,4,3,3,4,3,2,4,4,3,5,5,3,5,5,5,3, , , , , , ,2,5,4,2,3,3,3,4,4,3,5,4,6,5,4,3,4,3
